CName,CLink,CCity,CFounded,CNation,CLeague,CReputation,CStatus,CBalance,CTransfer_Budget,CTotal_Wages,CRemaining_Wages,CTraining_Facilities,CYouth_Facilities,CYouth_Recruitment,CJunior_Coaching,CBest_XI,CMost_Talented_XI
Sanse,https://fminside.net/clubs/1-fm-21/4200483-sanse,S. Sebastián de los Reyes,1971,Spain,Second Division B5,36,,€ 76K,0,€ 30K pw,€ 1K pw,55,40,35,35,52,52
ASK Voitsberg,https://fminside.net/clubs/1-fm-21/137968-ask-voitsberg,Voitsberg,1921,Austria,Steiermark,36,Semi-Professional,999.00,0,0 pw,0 pw,55,55,40,40,,
Al-Sailiya,https://fminside.net/clubs/1-fm-21/1000546-al-sailiya,Doha,1995,Qatar,QNB Stars League,36,Professional,€ 2M,0,0 pw,0 pw,30,20,50,25,56,67
Neman Grodno,https://fminside.net/clubs/1-fm-21/307-neman-grodno,Grodno,1964,Belarus,Vyšejšaja Liha,36,Professional,€ 686K,€ 64K,€ 13K pw,€ 3K pw,60,60,55,65,55,52
TuS Bad Gleichenberg,https://fminside.net/clubs/1-fm-21/16010532-tus-bad-gleichenberg,Bad Gleichenberg,1933,Austria,Regionalliga Mitte,36,,€ 41K,0,0 pw,0 pw,60,60,45,45,44,47
Zweigen Kanazawa,https://fminside.net/clubs/1-fm-21/775165-zweigen-kanazawa,Kanazawa,1956,Japan,J2 League,36,Professional,€ 162K,0,0 pw,0 pw,40,20,30,35,,
Textilschik Ivanovo,https://fminside.net/clubs/1-fm-21/477540-textilschik-ivanovo,Ivanovo,1937,Russia,FNL,36,Professional,€ 240K,0,€ 14K pw,665 pw,15,25,15,30,46,50
Lisen,https://fminside.net/clubs/1-fm-21/5652987-lisen,Brno,1924,Czech Republic,Fortuna národní liga,36,,€ 279K,€ 277K,€ 7K pw,€ 2K pw,30,50,60,40,45,44
Blansko,https://fminside.net/clubs/1-fm-21/25004990-blansko,Blansko,2004,Czech Republic,Fortuna národní liga,36,,€ 188K,€ 185K,€ 7K pw,€ 1K pw,30,30,25,25,49,50
Mačva Šabac,https://fminside.net/clubs/1-fm-21/5740640-mava-abac,Sabac,1919,Serbia,SuperLiga,36,,€ 434K,€ 90K,€ 6K pw,294 pw,40,40,50,40,52,58
Comuna Recea,https://fminside.net/clubs/1-fm-21/57110352-comuna-recea,Recea (MM),0,Romania,Liga II,36,,345.00,0,€ 5K pw,609 pw,40,15,10,15,41,47
Bandırmaspor,https://fminside.net/clubs/1-fm-21/130304-bandrmaspor,Balıkesir,1965,Turkey,TFF 1. Lig,36,Professional,€ 1M,€ 108K,€ 46K pw,€ 2K pw,20,25,5,10,57,51
Havadar,https://fminside.net/clubs/1-fm-21/2000030206-havadar,Tehran,2018,Iran,Azadegan League,36,,0,0,0 pw,0 pw,35,25,25,25,53,0
Torres,https://fminside.net/clubs/1-fm-21/2222-torres,Sassari,1903,Italy,Serie D Girone G,36,Semi-Professional,€ 180K,0,0 pw,0 pw,15,15,25,15,41,48
AC Barnechea,https://fminside.net/clubs/1-fm-21/5250437-ac-barnechea,Lo Barnechea,1929,Chile,Campeonato Primera B,36,,€ 47K,€ 42K,€ 14K pw,655 pw,30,30,40,45,54,52
CA Rentistas,https://fminside.net/clubs/1-fm-21/115039-ca-rentistas,Montevideo,1933,Uruguay,Torneo Uruguayo Copa,36,Professional,€ 11K,€ 2K,€ 6K pw,€ 1K pw,20,25,45,45,57,57
Juventud,https://fminside.net/clubs/1-fm-21/130848-juventud,Las Piedras,1935,Uruguay,Segunda División,36,Professional,€ 11K,€ 1K,€ 7K pw,€ 2K pw,30,35,55,55,54,58
Prachuap,https://fminside.net/clubs/1-fm-21/23268087-prachuap,Prachuap Khiri Khan,2009,Thailand,Toyota Thai League,36,,€ 1M,0,0 pw,0 pw,50,45,55,40,53,56
Ramtha,https://fminside.net/clubs/1-fm-21/135257-ramtha,Ar-Ramtha,1966,Jordan,Al-Manaseer Jordanian Pro League 1st Division,36,Professional,€ 373K,0,0 pw,0 pw,30,25,65,40,54,0
Iskra,https://fminside.net/clubs/1-fm-21/136477-iskra,Danilovgrad,1919,Montenegro,T-Com 1.CFL,36,Professional,€ 180K,0,0 pw,0 pw,40,40,60,35,50,58
Rudar Velenje,https://fminside.net/clubs/1-fm-21/1638-rudar-velenje,Velenje,1948,Slovenia,2.SNL,36,Professional,€ 329K,€ 80K,€ 5K pw,243 pw,45,45,55,45,49,57
Triglav Kranj,https://fminside.net/clubs/1-fm-21/1641-triglav-kranj,Kranj,1920,Slovenia,2.SNL,36,Professional,€ 373K,€ 80K,€ 7K pw,313 pw,50,55,60,55,50,60
Al-Orobah,https://fminside.net/clubs/1-fm-21/7920357-al-orobah,Sekakah,1975,Saudi Arabia,First Division,36,,€ 2M,0,0 pw,0 pw,30,40,5,15,51,0
Bylis,https://fminside.net/clubs/1-fm-21/1300042-bylis,Ballsh,1972,Albania,Kategoria I,36,,€ 129K,0,0 pw,0 pw,30,25,55,25,42,53
Riga,https://fminside.net/clubs/1-fm-21/47053664-riga,Riga,2015,Latvia,Optibet Virslīga,36,,€ 1M,0,0 pw,0 pw,40,35,30,35,59,62
Sagrada Esperança,https://fminside.net/clubs/1-fm-21/5390058-sagrada-esperanca,Dundo,1976,Angola,Girabola,36,,0,0,0 pw,0 pw,35,15,30,40,,
SV Wildon,https://fminside.net/clubs/1-fm-21/16008954-sv-wildon,Wildon,1935,Austria,Steiermark,36,,512.00,0,0 pw,0 pw,55,55,40,40,46,0
ASV Siegendorf,https://fminside.net/clubs/1-fm-21/16011698-asv-siegendorf,Siegendorf,1930,Austria,Burgenland,36,,0,0,0 pw,0 pw,55,55,40,40,42,45
SC Röthis,https://fminside.net/clubs/1-fm-21/16008946-sc-rothis,Röthis,1976,Austria,Eliteleague Vorarlberg,36,,€ 20K,0,0 pw,0 pw,60,60,45,45,45,0
SV Hall,https://fminside.net/clubs/1-fm-21/5602985-sv-hall,Hall in Tirol,1921,Austria,Regional League Tyrol,36,,€ 39K,0,0 pw,0 pw,60,60,45,45,40,48
SC Imst,https://fminside.net/clubs/1-fm-21/16010570-sc-imst,Imst,1933,Austria,Regional League Tyrol,36,,€ 32K,0,0 pw,0 pw,60,60,45,45,42,50
SVG Reichenau,https://fminside.net/clubs/1-fm-21/16057138-svg-reichenau,Innsbruck,1976,Austria,Regional League Tyrol,36,,€ 47K,0,0 pw,0 pw,60,60,45,45,42,48
SV Seekirchen,https://fminside.net/clubs/1-fm-21/5602987-sv-seekirchen,Seekirchen am Wallersee,1945,Austria,Regional League Salzburg,36,,€ 40K,0,0 pw,0 pw,60,60,45,45,43,53
Kazma,https://fminside.net/clubs/1-fm-21/135249-kazma,Al-Edelyah,1964,Kuwait,Kuwaiti Premier League,36,Professional,€ 9M,0,0 pw,0 pw,40,30,65,40,53,56
Al-Suwaiq,https://fminside.net/clubs/1-fm-21/135328-al-suwaiq,Al-Suwaiq,1972,Oman,Omantel League,36,Professional,€ 510K,0,0 pw,0 pw,40,35,30,35,48,0
Durango,https://fminside.net/clubs/1-fm-21/136008-durango,Durango (MEX),1958,Mexico,Liga Premier Serie A Grupo 1,36,Professional,€ 22K,0,0 pw,0 pw,50,35,40,25,44,53
Elverum Fotball,https://fminside.net/clubs/1-fm-21/1305-elverum-fotball,Elverum,1907,Norway,3. divisjon 1,36,Semi-Professional,€ 21K,0,0 pw,0 pw,35,35,45,55,45,50
Ońtústik akademııasy,https://fminside.net/clubs/1-fm-21/59135018-otustik-akademasy,-,2018,Kazakhstan,Byrynszy liga,36,,0,0,0 pw,0 pw,15,15,25,15,,
WIT Georgia Tbilisi,https://fminside.net/clubs/1-fm-21/483761-wit-georgia-tbilisi,Mtskheta,1998,Georgia,Erovnuli Liga 2,36,Professional,0,0,0 pw,0 pw,30,30,75,55,,
Shevardeni Tbilisi,https://fminside.net/clubs/1-fm-21/1300524-shevardeni-tbilisi,-,0,Georgia,Erovnuli Liga 2,36,,0,0,0 pw,0 pw,15,15,25,15,44,0
Deportes Concepción,https://fminside.net/clubs/1-fm-21/104361-deportes-concepcion,Concepción,1966,Chile,Segunda División,36,Professional,€ 34K,0,0 pw,0 pw,50,30,40,35,47,52
U.W.I. FC,https://fminside.net/clubs/1-fm-21/81010086-uwi-fc,Kingston,1990,Jamaica,Red Stripe Premier League,36,,€ 77K,0,0 pw,0 pw,25,35,50,25,,
GD Gafanha,https://fminside.net/clubs/1-fm-21/734127-gd-gafanha,Gafanha,1957,Portugal,Aveiro First Division,36,Semi-Professional,0,0,0 pw,0 pw,35,35,20,40,,
Portosantense,https://fminside.net/clubs/1-fm-21/733870-portosantense,Porto Santo,1948,Portugal,Madeira Honor Division,36,Amateur,0,0,0 pw,0 pw,40,15,5,35,41,51
Vitebsk,https://fminside.net/clubs/1-fm-21/130877-vitebsk,Vitebsk,1960,Belarus,Vyšejšaja Liha,36,Professional,€ 907K,€ 76K,€ 10K pw,680 pw,50,50,40,75,52,54
Slavia Mazyrr,https://fminside.net/clubs/1-fm-21/130879-slavia-mazyrr,Mozyr,1987,Belarus,Vyšejšaja Liha,36,Professional,€ 852K,€ 4K,€ 13K pw,€ 1K pw,50,50,35,65,51,51
B.93,https://fminside.net/clubs/1-fm-21/493-b93,Copenhagen,1893,Denmark,2. division,35,Semi-Professional,€ 22K,€ 3K,€ 5K pw,540 pw,25,20,65,55,41,51
Jammerbugt FC,https://fminside.net/clubs/1-fm-21/2116-jammerbugt-fc,Pandrup,1973,Denmark,2. division,35,Semi-Professional,€ 22K,€ 3K,€ 11K pw,€ 1K pw,25,15,25,15,41,43
Morecambe,https://fminside.net/clubs/1-fm-21/687-morecambe,Morecambe,1920,England,EFL League Two,35,Professional,€ 130K,0,€ 27K pw,€ 2K pw,45,20,45,20,52,54
Stade Briochin,https://fminside.net/clubs/1-fm-21/878-stade-briochin,Saint-Brieuc,1904,France,National,35,Semi-Professional,€ 305K,0,€ 16K pw,773 pw,25,15,40,25,53,55
FC Sète 34,https://fminside.net/clubs/1-fm-21/2008-fc-sete-34,Sète,1914,France,National,35,Semi-Professional,€ 313K,0,€ 13K pw,600 pw,30,15,25,25,51,53
Norderstedt,https://fminside.net/clubs/1-fm-21/35016737-norderstedt,Norderstedt,2003,Germany,Regionalliga Nord,35,,2.00,0,0 pw,0 pw,35,35,35,25,47,54
Drochtersen,https://fminside.net/clubs/1-fm-21/35024625-drochtersen,Drochtersen,1977,Germany,Regionalliga Nord,35,,2.00,0,0 pw,0 pw,25,25,20,20,47,53
Jeddeloh,https://fminside.net/clubs/1-fm-21/35116398-jeddeloh,Edewecht,1951,Germany,Regionalliga Nord,35,,2.00,0,0 pw,0 pw,20,20,20,20,43,49
HSC Hannover,https://fminside.net/clubs/1-fm-21/91148598-hsc-hannover,Hannover,1946,Germany,Regionalliga Nord,35,,0,0,0 pw,0 pw,15,15,15,15,44,51
Bahlingen,https://fminside.net/clubs/1-fm-21/879209-bahlingen,Bahlingen,1929,Germany,Regionalliga Südwest,35,Semi-Professional,2.00,0,0 pw,0 pw,20,20,20,20,48,58
Alzenau,https://fminside.net/clubs/1-fm-21/8700455-alzenau,Alzenau,1920,Germany,Regionalliga Südwest,35,,2.00,0,0 pw,0 pw,20,15,20,15,45,51
RW Koblenz,https://fminside.net/clubs/1-fm-21/35116400-rw-koblenz,Koblenz,1947,Germany,Regionalliga Südwest,35,,0,0,0 pw,0 pw,15,15,15,15,47,58
TSV Steinbach,https://fminside.net/clubs/1-fm-21/35130696-tsv-steinbach,Haiger,1921,Germany,Regionalliga Südwest,35,,2.00,0,0 pw,0 pw,20,20,20,20,53,58
Umeå FC,https://fminside.net/clubs/1-fm-21/1833-ume-fc,Umeå,1987,Sweden,Superettan,35,Semi-Professional,€ -32.5K,0,€ 16K pw,730 pw,25,20,35,30,50,57
Ibiza,https://fminside.net/clubs/1-fm-21/4212168-ibiza,Ibiza,1957,Spain,Segunda División B Grupo III,35,,€ 93K,€ 9K,€ 42K pw,€ 3K pw,55,35,40,40,57,59
San Fernando CD,https://fminside.net/clubs/1-fm-21/67070379-san-fernando-cd,San Fernando,2000,Spain,Segunda División B Grupo IV,35,,€ 77K,€ 8K,€ 45K pw,€ 2K pw,50,40,35,45,57,57
Linares,https://fminside.net/clubs/1-fm-21/67174187-linares,Linares,2009,Spain,Segunda División B Grupo IV,35,,€ 132K,0,€ 20K pw,€ 2K pw,40,40,25,45,51,48
Ferroviário (CE),https://fminside.net/clubs/1-fm-21/301129-ferroviario-ce,Fortaleza (CE),1933,Brazil,Série C,35,Professional,€ 3K,0,€ 8K pw,358 pw,35,35,55,35,52,46
Ypiranga,https://fminside.net/clubs/1-fm-21/319160-ypiranga,Erechim (RS),1924,Brazil,Série C,35,Professional,€ 30K,€ 8K,€ 13K pw,598 pw,15,15,35,20,54,57
FC Ryukyu,https://fminside.net/clubs/1-fm-21/783801-fc-ryukyu,Nakagami,2003,Japan,J2 League,35,Professional,€ 202K,0,0 pw,0 pw,40,20,40,40,,
Finn Harps,https://fminside.net/clubs/1-fm-21/1300918-finn-harps,Ballybofey,1954,Republic of Ireland,SSE Airtricity League,35,,€ 40K,0,€ 7K pw,621 pw,20,20,30,40,44,47
Chrobry Głogów,https://fminside.net/clubs/1-fm-21/717313-chrobry-gogow,Głogów,1946,Poland,I liga,35,Professional,€ 447K,0,€ 13K pw,€ 1K pw,45,35,40,20,52,47
Radomiak Radom,https://fminside.net/clubs/1-fm-21/717327-radomiak-radom,Radom,1910,Poland,I liga,35,Professional,€ 560K,€ 4K,€ 12K pw,993 pw,25,30,35,35,53,59
Opatija,https://fminside.net/clubs/1-fm-21/129847-opatija,Opatija,1911,Croatia,Druga HNL,35,Semi-Professional,€ 104K,€ 5K,€ 3K pw,628 pw,20,20,25,35,52,44
Junak,https://fminside.net/clubs/1-fm-21/129874-junak,Sinj,1916,Croatia,Druga HNL,35,Semi-Professional,€ -254.8K,€ 2K,€ 3K pw,621 pw,35,40,45,50,49,57
Dubrava,https://fminside.net/clubs/1-fm-21/650441-dubrava,Zagreb,1945,Croatia,Druga HNL,35,Semi-Professional,€ 2K,€ 5K,€ 3K pw,602 pw,30,25,35,45,51,51
OF Ierapetras,https://fminside.net/clubs/1-fm-21/687622-of-ierapetras,Ierapetra,1970,Greece,Super League 2,35,Professional,€ 21K,0,€ 6K pw,847 pw,20,20,20,20,47,52
Karaiskakis Artas,https://fminside.net/clubs/1-fm-21/36077974-karaiskakis-artas,Arta,2012,Greece,Super League 2,35,,€ 21K,0,€ 5K pw,604 pw,20,25,20,30,46,51
Glenavon,https://fminside.net/clubs/1-fm-21/1281-glenavon,Lurgan,1889,Northern Ireland,Danske Bank Premiership,35,Semi-Professional,€ 90K,0,€ 8K pw,889 pw,25,25,85,70,44,41
Bentleigh Greens,https://fminside.net/clubs/1-fm-21/426850-bentleigh-greens,Melbourne,1987,Australia,NPL Victoria,35,Semi-Professional,0,0,0 pw,0 pw,50,70,70,40,45,46
Olympia,https://fminside.net/clubs/1-fm-21/136270-olympia,Prague,2017,Czech Republic,Lower Division,35,Amateur,€ 734K,0,0 pw,0 pw,40,35,35,35,39,41
ASV Draßburg,https://fminside.net/clubs/1-fm-21/16009496-asv-draburg,Draßburg,1945,Austria,Regionalliga Ost,35,,€ 41K,0,0 pw,0 pw,60,60,45,45,43,48
Csákvári TK,https://fminside.net/clubs/1-fm-21/38019804-csakvari-tk,Csákvár,1947,Hungary,Merkantil Bank Liga,35,,€ 192K,0,€ 4K pw,172 pw,30,25,15,20,48,51
Olimpia Grudziądz,https://fminside.net/clubs/1-fm-21/54015271-olimpia-grudzidz,Grudziądz,1923,Poland,II Liga,35,,€ -26.1K,0,0 pw,0 pw,25,20,30,40,47,54
Kavala,https://fminside.net/clubs/1-fm-21/977-kavala,Kavala,1965,Greece,Football League North,35,Professional,0,0,0 pw,0 pw,40,40,30,35,41,50
Pierikos,https://fminside.net/clubs/1-fm-21/129668-pierikos,Katerini,1961,Greece,Football League North,35,Professional,0,0,0 pw,0 pw,30,30,35,30,45,45
Aigaleo,https://fminside.net/clubs/1-fm-21/129657-aigaleo,Aigaleo,1931,Greece,Football League South,35,Professional,0,0,0 pw,0 pw,35,35,15,30,46,51
Kallithea,https://fminside.net/clubs/1-fm-21/129661-kallithea,Kallithea,1966,Greece,Football League South,35,Professional,0,0,0 pw,0 pw,20,25,30,45,44,44
Sedan Ardennes,https://fminside.net/clubs/1-fm-21/880-sedan-ardennes,Sedan,1919,France,National 2 Groupe B,35,Semi-Professional,€ 196K,0,0 pw,0 pw,50,40,35,45,49,52
Gol Gohar,https://fminside.net/clubs/1-fm-21/23023168-gol-gohar,Sirjan,1997,Iran,Iran Pro League,35,,€ 198K,0,0 pw,0 pw,25,15,30,25,55,56
Baadraan,https://fminside.net/clubs/1-fm-21/23325060-baadraan,Tehran,2015,Iran,Azadegan League,35,,€ 494K,0,0 pw,0 pw,20,15,25,15,50,0
Manama,https://fminside.net/clubs/1-fm-21/5626491-manama,Manama,1946,Bahrain,Premier League,35,,€ 465K,0,0 pw,0 pw,30,25,30,25,55,35
Sanremese,https://fminside.net/clubs/1-fm-21/108981-sanremese,Sanremo,1904,Italy,Serie D Girone A,35,Semi-Professional,€ 39K,0,0 pw,0 pw,20,15,35,20,39,43
Folgore Caratese,https://fminside.net/clubs/1-fm-21/834830-folgore-caratese,Carate Brianza,1908,Italy,Serie D Girone A,35,Semi-Professional,€ 32K,0,0 pw,0 pw,15,15,25,15,43,49
Gozzano,https://fminside.net/clubs/1-fm-21/43066352-gozzano,Gozzano,1924,Italy,Serie D Girone A,35,,€ 439K,0,0 pw,0 pw,15,15,25,15,45,50
Campodarsego,https://fminside.net/clubs/1-fm-21/43076659-campodarsego,Campodarsego,1974,Italy,Serie D Girone C,35,,€ 24K,0,0 pw,0 pw,15,15,25,15,42,46
Forlì,https://fminside.net/clubs/1-fm-21/2198-forli,Forlì,1919,Italy,Serie D Girone D,35,Semi-Professional,€ 129K,0,0 pw,0 pw,10,15,15,15,43,50
Casarano,https://fminside.net/clubs/1-fm-21/1117-casarano,Casarano,1927,Italy,Serie D Girone H,35,Semi-Professional,€ 26K,0,0 pw,0 pw,15,15,25,15,47,47
Sorrento,https://fminside.net/clubs/1-fm-21/831366-sorrento,Sorrento,1945,Italy,Serie D Girone H,35,Semi-Professional,€ 77K,0,0 pw,0 pw,15,15,25,15,44,43
Bitonto,https://fminside.net/clubs/1-fm-21/7987943-bitonto,Bitonto,1921,Italy,Serie D Girone H,35,,€ 21K,0,0 pw,0 pw,15,15,25,15,46,48
Acireale,https://fminside.net/clubs/1-fm-21/1101-acireale,Acireale,1946,Italy,Serie D Girone I,35,Semi-Professional,€ 39K,0,0 pw,0 pw,15,15,25,15,46,51
Rampla Juniors,https://fminside.net/clubs/1-fm-21/1924-rampla-juniors,Montevideo,1914,Uruguay,Segunda División,35,Professional,-192.00,680.00,€ 5K pw,610 pw,30,25,30,40,53,56
FC Wels,https://fminside.net/clubs/1-fm-21/137965-fc-wels,Wels,2003,Austria,Regionalliga Mitte,35,Semi-Professional,€ 19K,0,0 pw,0 pw,60,60,45,45,49,51
Al-Hurriya,https://fminside.net/clubs/1-fm-21/135480-al-hurriya,Aleppo,1952,Syria,Syrian Premier League,35,Professional,€ 64K,0,0 pw,0 pw,15,25,80,35,49,0
Jazeera (JOR),https://fminside.net/clubs/1-fm-21/135255-jazeera-jor,Amman,1947,Jordan,Al-Manaseer Jordanian Pro League 1st Division,35,Professional,0,0,0 pw,0 pw,30,40,100,35,49,56
Lancy,https://fminside.net/clubs/1-fm-21/137910-lancy,Grand-Lancy,1943,Switzerland,1. Liga Classic Gruppe 1,35,Semi-Professional,0,0,0 pw,0 pw,35,25,20,15,40,43
Solothurn,https://fminside.net/clubs/1-fm-21/106190-solothurn,Solothurn,1901,Switzerland,1. Liga Classic Gruppe 2,35,Semi-Professional,0,0,0 pw,0 pw,30,30,60,60,43,49
Biel-Bienne,https://fminside.net/clubs/1-fm-21/137924-biel-bienne,Biel,1896,Switzerland,1. Liga Classic Gruppe 2,35,Semi-Professional,€ 25K,0,0 pw,0 pw,45,45,35,50,43,47
Podgorica,https://fminside.net/clubs/1-fm-21/62198543-podgorica,Podgorica,1970,Montenegro,T-Com 1.CFL,35,,€ 103K,0,0 pw,0 pw,35,35,60,30,49,52
FK Radnički 1923,https://fminside.net/clubs/1-fm-21/120779-fk-radniki-1923,Kragujevac,1923,Serbia,Prva liga,35,Semi-Professional,€ 170K,€ 30K,€ 6K pw,278 pw,40,45,50,45,52,58
FC Kosice,https://fminside.net/clubs/1-fm-21/63035357-fc-kosice,-,2018,Slovakia,2. Liga,35,,€ 6K,€ 22K,€ 8K pw,370 pw,50,50,55,45,50,56
Tallinna FC Flora,https://fminside.net/clubs/1-fm-21/746-tallinna-fc-flora,Tallinn,1990,Estonia,Meistriliiga,35,Professional,€ 1M,0,0 pw,0 pw,40,45,45,40,,
ÍBV Vestmannaeyja,https://fminside.net/clubs/1-fm-21/1074-ibv-vestmannaeyja,Vestmannaeyjar,1903,Iceland,Inkasso-deild karla,35,Semi-Professional,€ -305.6K,0,€ 8K pw,634 pw,50,50,40,60,45,51
Íþróttafélagið Þór,https://fminside.net/clubs/1-fm-21/1079-irottafelagi-or,Akureyri,1915,Iceland,Inkasso-deild karla,35,Semi-Professional,€ 23K,€ 3K,€ 6K pw,292 pw,70,70,55,50,46,51
Víkingur Ólafsvík,https://fminside.net/clubs/1-fm-21/7842686-vikingur-olafsvik,Snæfellsbær,1928,Iceland,Inkasso-deild karla,35,,€ -6.4K,0,€ 4K pw,178 pw,40,40,30,40,43,49
Vestri,https://fminside.net/clubs/1-fm-21/39048732-vestri,Ísafjarðarbær,2016,Iceland,Inkasso-deild karla,35,,€ 100K,0,€ 6K pw,279 pw,40,40,40,45,45,50
Hapoel Acre,https://fminside.net/clubs/1-fm-21/7861698-hapoel-acre,Acre,1946,Israel,Liga Leumit,35,,€ 477K,0,€ 6K pw,€ -5.6K pw,20,20,20,20,43,53
S.C. Kfar Kasem,https://fminside.net/clubs/1-fm-21/7862560-sc-kfar-kasem,Kfar Kasem,2002,Israel,Liga Leumit,35,,€ 198K,0,€ 10K pw,€ -4.7K pw,20,15,25,15,44,47
Emirates,https://fminside.net/clubs/1-fm-21/135435-emirates,Ras Al-Khaimah,1969,United Arab Emirates,UAE Division 1,35,Professional,0,0,0 pw,0 pw,45,30,55,25,63,0
Sint-Eloois-Winkel Sport,https://fminside.net/clubs/1-fm-21/6600094-sint-eloois-winkel-sport,Sint-Eloois-Winkel,1940,Belgium,Nationale 1,35,,€ 24K,€ 3K,€ 6K pw,288 pw,50,45,25,60,48,48
URSL Visé,https://fminside.net/clubs/1-fm-21/18104893-ursl-vise,Visé,0,Belgium,Nationale 1,35,,€ 8K,0,€ 10K pw,461 pw,40,40,50,50,49,53
Akademija Pandev,https://fminside.net/clubs/1-fm-21/47059823-akademija-pandev,Strumica,2010,North Macedonia,1. MFL,35,,€ 329K,0,0 pw,0 pw,65,60,70,65,55,54
Slavija Sarajevo,https://fminside.net/clubs/1-fm-21/5746630-slavija-sarajevo,Istocno Sarajevo,1908,Bosnia and Herzegovina,Prva liga Republike Srpske,35,,0,0,0 pw,0 pw,30,35,55,35,,
Zvijezda 09,https://fminside.net/clubs/1-fm-21/21027437-zvijezda-09,Bijeljina,2009,Bosnia and Herzegovina,Prva liga Republike Srpske,35,,€ 155K,0,0 pw,0 pw,35,30,35,35,51,0
Buducnost (B),https://fminside.net/clubs/1-fm-21/5741998-buducnost-b,Banovici,1947,Bosnia and Herzegovina,M:tel First League,35,,0,0,0 pw,0 pw,25,20,45,25,,
Radnik (H),https://fminside.net/clubs/1-fm-21/8403738-radnik-h,Hadzici,1948,Bosnia and Herzegovina,M:tel First League,35,,0,0,0 pw,0 pw,15,15,35,15,,
Siegen,https://fminside.net/clubs/1-fm-21/108993-siegen,Siegen,1899,Germany,Oberliga Westfalen,35,Semi-Professional,2.00,0,0 pw,0 pw,35,35,25,25,,
Haltern,https://fminside.net/clubs/1-fm-21/35019021-haltern,Haltern am See,1951,Germany,Oberliga Westfalen,35,,0,0,0 pw,0 pw,10,10,10,10,47,54
JS Saoura,https://fminside.net/clubs/1-fm-21/12031147-js-saoura,Béchar,2008,Algeria,Ligue Professionnelle 1,35,,€ 17K,0,0 pw,0 pw,25,15,35,25,60,0
Kwara Utd,https://fminside.net/clubs/1-fm-21/5410008-kwara-utd,Ilorin,1997,Nigeria,Nigeria Professional Football League,35,,2.00,0,0 pw,0 pw,25,25,30,40,57,0
Adamawa Utd,https://fminside.net/clubs/1-fm-21/12016127-adamawa-utd,Yola,0,Nigeria,Nigeria Professional Football League,35,,2.00,0,0 pw,0 pw,10,15,30,10,,
Ben Guerdane,https://fminside.net/clubs/1-fm-21/12019347-ben-guerdane,Ben Guerdane,1945,Tunisia,CLP-1,35,,2.00,0,0 pw,0 pw,35,15,25,25,57,0
AS Soliman,https://fminside.net/clubs/1-fm-21/13170342-as-soliman,Soliman,1960,Tunisia,CLP-1,35,,0,0,0 pw,0 pw,35,35,50,35,58,0
AS Rejiche,https://fminside.net/clubs/1-fm-21/13187324-as-rejiche,Mahdia,1980,Tunisia,CLP-1,35,,0,0,0 pw,0 pw,30,20,25,35,49,0
FUS Rabat,https://fminside.net/clubs/1-fm-21/5380012-fus-rabat,Rabat,1946,Morocco,Botola Pro 1,35,,0,0,0 pw,0 pw,45,15,30,45,55,57
Rapide Oued Zem,https://fminside.net/clubs/1-fm-21/13165097-rapide-oued-zem,Oued Zem,1926,Morocco,Botola Pro 1,35,,0,0,0 pw,0 pw,5,15,30,15,56,0
Desportivo Huíla,https://fminside.net/clubs/1-fm-21/8626853-desportivo-huila,Lubango,1998,Angola,Girabola,35,,€ 103K,0,0 pw,0 pw,25,25,25,25,61,0
JS Kairouan,https://fminside.net/clubs/1-fm-21/5390020-js-kairouan,Kairouan,1942,Tunisia,Ligue Professionelle 2A,35,,€ 80K,0,0 pw,0 pw,35,25,40,25,57,0
EGS Gafsa,https://fminside.net/clubs/1-fm-21/8629435-egs-gafsa,Gafsa,1967,Tunisia,Ligue Professionelle 2B,35,,€ 80K,0,0 pw,0 pw,30,15,40,25,58,0
Académie JMG Mali,https://fminside.net/clubs/1-fm-21/18032005-academie-jmg-mali,Bamako,2006,Mali,ACEFOOT,35,,0,0,0 pw,0 pw,75,85,75,75,,
Dwarfs FC,https://fminside.net/clubs/1-fm-21/5340901-dwarfs-fc,Cape Coast,1939,Ghana,Premier League,35,,2.00,0,0 pw,0 pw,10,10,30,10,,
Inter Allies,https://fminside.net/clubs/1-fm-21/13111122-inter-allies,Accra,1996,Ghana,Premier League,35,,0,0,0 pw,0 pw,25,25,30,25,,
Elmina Sharks,https://fminside.net/clubs/1-fm-21/13170398-elmina-sharks,Elmina,1998,Ghana,Premier League,35,,0,0,0 pw,0 pw,25,25,30,25,,
Legon Cities,https://fminside.net/clubs/1-fm-21/13231992-legon-cities,Accra,2005,Ghana,Premier League,35,,0,0,0 pw,0 pw,15,15,25,15,60,0
USC Bassam,https://fminside.net/clubs/1-fm-21/12021636-usc-bassam,Grand-Bassam,1948,Ivory Coast,Ligue 1,35,,€ 77K,0,0 pw,0 pw,30,15,30,20,56,0
AS Tanda,https://fminside.net/clubs/1-fm-21/13146505-as-tanda,Tanda,1965,Ivory Coast,Ligue 1,35,,€ 194K,0,0 pw,0 pw,35,15,30,25,,
Nkana,https://fminside.net/clubs/1-fm-21/5341706-nkana,Kitwe,1935,Zambia,Super Division,35,,0,0,0 pw,0 pw,15,15,30,15,58,0
